# ★ 자세 열 «걷다» = →+A(앞베기) 커맨드 기본기 (유저 확인 2026-09-05 — 처음엔 자세 변종으로 오독). «걷다 A홀드» 줄은 R 을 놓고 눌러 앞+강베기가 «안 나온» 판 — 재측정 예정.
# SS2 기본기 프레임 표 — 十五士 (2026-09-05 실측 · 순정 롬 · 1P 모드 보통 CPU · 순간이동 더미)
# 더미: live(R 쥔 채 P1 X 0x19D6 가 처음 움직이는 f)에서 P1 X 를 P2 X−거리 로 한 번 박고, P2 X(0x1BD6) 는 지속 poke 로 붙듦. 대기 0/4/8 × 거리 40/32/24/16 사다리 → «히트 직전 P2 act 8» 인 판만 받음.
# 상대는 CPU 가 정한다(P2 = 램 0x1D51 값 · 같은 값 = 같은 상대). 상대경직·유불리는 P2 가 같은 줄끼리만 댄다. 黒子(7)는 대전 없음.
# 발동 = 누름→첫 히트 · 후경직 = 첫 히트→내 act 8 · 상대경직 = 첫 히트→P2 act 8 · 유불리 = 상대경직−후경직 · 위상1 은 발동 +1 이 정상이라 ±1 은 일치로 봄.
# ★ 버튼은 게임 기준으로 적는다: A = 베기 · B = 회피 (하네스 토큰은 반대 — 토큰 B = 게임 A). 게임 B(act 168·72·76·184)는 공격이 아니라 «회피»: 07 레코드 없음 · 피해 0 · 피격 4~12f 전 입력이면 그 공격을 안 맞는다 (2026-09-05 실측).
# 상태: 측정 = 두 위상 일치 · 반측정 = 위상0 만 맞음(위상1 은 CPU 가 막음) · 미측정 = 대기 0~12 × 거리 48~16 다 CPU 가 막음(56) · 이상 = 위상1 피해가 다름(十兵衛 홀드 25 vs 40, 위상2 로 재기 전엔 ?)
# 비고: 위상1 a/b/c = 위상1 의 발동/피해/타수 · 거리n = 40 에서 안 닿아 좁힘(관문 통과, 측정으로 침)
자리	이름	P2	기술	자세	리치	act	발동	후경직	상대경직	유불리	피해	타수	상태	비고
10	十兵衛	160	A탭	서서	40	80	6	34	32	-2	13	1	측정	
10	十兵衛	160	A탭	→+A	60	84	8	36	32	-4	13	1	측정	
10	十兵衛	160	A홀드	서서		96	14	68	68	+0	25	1	측정	위상1 15/40/1 · 더미v2 재측정 위상2 일치
10	十兵衛	160	A홀드	→+A		96	14	68	68	+0	25	1	측정	위상1 15/40/1 · 더미v2 재측정 위상2 일치
11	蒼月	176	A탭	서서	32	116	6	34	32	-2	10	1	측정	거리32
11	蒼月	176	A탭	→+A	56	120	6	38	32	-6	10	1	측정	
11	蒼月	176	A홀드	서서		132	18	66	68	+2	26	1	측정	더미v2(0x1CC7) · 위상2 일치
11	蒼月	176	A홀드	→+A		132	18	66	68	+2	26	1	측정	더미v2(0x1CC7) · 위상2 일치 · R 놓고 쥠 = 서서 홀드와 같은 act
12	シャルロット	120	A탭	서서	40	80	6	34	32	-2	14	1	측정	
12	シャルロット	120	A탭	→+A	69	84	8	36	32	-4	11	1	측정	
12	シャルロット	120	A홀드	서서		96	14	90	88	-2	35	2	측정	
12	シャルロット	120	A홀드	→+A		96	14	90	88	-2	35	2	측정	
13	火月	56	A탭	서서	32	116	6	34	32	-2	10	1	측정	거리32
13	火月	56	A탭	→+A	56	120	6	38	32	-6	10	1	측정	
13	火月	56	A홀드	서서		132	16	62	68	+6	26	1	측정	위상1 실패 · 더미v2 재측정 위상2 일치
13	火月	56	A홀드	→+A		132	16	62	68	+6	26	1	측정	위상1 실패 · 더미v2 재측정 위상2 일치
14	右京	192	A탭	서서	44	80	6	32	32	+0	13	1	측정	
14	右京	192	A탭	→+A	56	84	6	46	32	-14	13	1	측정	
14	右京	192	A홀드	서서		96	14	68	68	+0	25	1	측정	
14	右京	192	A홀드	→+A		96	14	68	68	+0	25	1	측정	
0	幻十郎		던지기	밀착(←+A홀드)	16	160	36	26	다운		15	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
1	色		던지기	밀착(←+A홀드)	16	200	36	26	다운		16	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
2	아수라		던지기	밀착(←+A홀드)	16	172	36	26	다운		15	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
3	八角泰山		던지기	밀착(←+A홀드)	16	164	38	26	다운		16	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
4	覇王丸		던지기	밀착(←+A홀드)	16	188	36	26	다운		15	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
5	ガルフォード		던지기	밀착(←+A홀드)	16	212	36	26	다운		15	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
6	ナコルル		던지기	밀착(←+A홀드)	16	176	36	26	다운		15	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
8	リムルル		던지기	밀착(←+A홀드)	16	172	36	26	다운		15	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
9	半蔵		던지기	밀착(←+A홀드)	16	144	36	26	다운		14	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
10	十兵衛		던지기	밀착(←+A홀드)	16	164	36	26	다운		15	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
11	蒼月		던지기	밀착(←+A홀드)	16	252	36	26	다운		16	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
12	シャルロット		던지기	밀착(←+A홀드)	16	164	36	26	다운		16	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
13	火月		던지기	밀착(←+A홀드)	16	248	36	26	다운		16	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
14	右京		던지기	밀착(←+A홀드)	16	168	36	26	다운		15	1	측정	더미v2 · 상대는 등 뒤 벽까지 날아감 · 발동은 홀드 시작부터
0	幻十郎		튕기기(→+B)	상대 c00 서서A		56/60→72/76	4	40(성공: 튕긴 f→내 act 8 = f66−26)	~62(상대 64→8)	+22	0	0	측정	창 = 피격 4~17f 전 누름(14f) · 1~3f 전은 예비동작(4f)이라 맞음 · 장풍은 어느 시점에도 안 튕김 · 상대 act 64 는 튕긴 경직
10	十兵衛		튕기기(→+B)	상대 c10 서서A		56/60→72/76	4	40(성공: 튕긴 f→내 act 8 = f66−26)	~62(상대 64→8)	+22	0	0	측정	창 = 피격 4~17f 전 누름(14f) · 1~3f 전은 예비동작(4f)이라 맞음 · 장풍은 어느 시점에도 안 튕김 · 상대 act 64 는 튕긴 경직
13	火月		튕기기(→+B)	상대 c13 앉아A		56/60→72/76	4	40(성공: 튕긴 f→내 act 8 = f66−26)	~62(상대 64→8)	+22	0	0	측정	창 = 피격 4~17f 전 누름(14f) · 1~3f 전은 예비동작(4f)이라 맞음 · 장풍은 어느 시점에도 안 튕김 · 상대 act 64 는 튕긴 경직
14	右京		튕기기(→+B)	상대 c14 돌진		56/60→72/76	4	40(성공: 튕긴 f→내 act 8 = f66−26)	~62(상대 64→8)	+22	0	0	측정	창 = 피격 4~17f 전 누름(14f) · 1~3f 전은 예비동작(4f)이라 맞음 · 장풍은 어느 시점에도 안 튕김 · 상대 act 64 는 튕긴 경직
