# 높이 열 보강 — P2≠192 상대의 앉기 act(스샷으로 고름: 160→52·176→52·56→48·144→36) · 서서 A 가 앉은 상대에 맞아야 유효 · 2026-09-05
자리	이름	앉기act	기술	서있음	앉음	유효
3	八角泰山	144	대시 A	맞음	헛침	무효(앉기 미확인)
3	八角泰山	144	대시 B	맞음	헛침	무효(앉기 미확인)
3	八角泰山	144	←B 시동기	맞음	헛침	무효(앉기 미확인)
3	八角泰山	144	던지기	맞음	헛침	무효(앉기 미확인)
12	シャルロット	144	서서 A	맞음	헛침	무효(앉기 미확인)
12	シャルロット	144	앉아 A	맞음	헛침	무효(앉기 미확인)
12	シャルロット	144	서서 A홀드	맞음	헛침	무효(앉기 미확인)
12	シャルロット	144	앉아 A홀드	맞음	헛침	무효(앉기 미확인)
12	シャルロット	144	→+A 앞베기	맞음	헛침	무효(앉기 미확인)
12	シャルロット	144	앞강베기	맞음	헛침	무효(앉기 미확인)
12	シャルロット	144	대시 A	맞음	헛침	무효(앉기 미확인)
12	シャルロット	144	대시 B	맞음	헛침	무효(앉기 미확인)
12	シャルロット	144	←B 시동기	맞음	헛침	무효(앉기 미확인)
12	シャルロット	144	던지기	맞음	헛침	무효(앉기 미확인)
1	色	136	서서 A	맞음	맞음	무효(앉기 미확인)
1	色	136	앉아 A	맞음	맞음	무효(앉기 미확인)
1	色	136	서서 A홀드	헛침	맞음	무효(앉기 미확인)
1	色	136	앉아 A홀드	맞음	맞음	무효(앉기 미확인)
1	色	136	→+A 앞베기	맞음	맞음	무효(앉기 미확인)
1	色	136	앞강베기	맞음	맞음	무효(앉기 미확인)
1	色	136	대시 A	맞음	맞음	무효(앉기 미확인)
1	色	136	대시 B	맞음	맞음	무효(앉기 미확인)
1	色	136	←B 시동기	맞음	맞음	무효(앉기 미확인)
1	色	136	던지기	맞음	맞음	무효(앉기 미확인)
3	八角泰山	136	서서 A	맞음	맞음	무효(앉기 미확인)
3	八角泰山	136	앉아 A	맞음	맞음	무효(앉기 미확인)
3	八角泰山	136	서서 A홀드	맞음	맞음	무효(앉기 미확인)
3	八角泰山	136	앉아 A홀드	맞음	맞음	무효(앉기 미확인)
3	八角泰山	136	→+A 앞베기	맞음	맞음	무효(앉기 미확인)
3	八角泰山	136	앞강베기	맞음	맞음	무효(앉기 미확인)
3	八角泰山	136	대시 A	맞음	맞음	무효(앉기 미확인)
3	八角泰山	136	대시 B	맞음	맞음	무효(앉기 미확인)
3	八角泰山	136	←B 시동기	맞음	맞음	무효(앉기 미확인)
3	八角泰山	136	던지기	맞음	맞음	무효(앉기 미확인)
12	シャルロット	136	서서 A	맞음	맞음	무효(앉기 미확인)
12	シャルロット	136	앉아 A	맞음	맞음	무효(앉기 미확인)
12	シャルロット	136	서서 A홀드	맞음	맞음	무효(앉기 미확인)
12	シャルロット	136	앉아 A홀드	맞음	맞음	무효(앉기 미확인)
12	シャルロット	136	→+A 앞베기	맞음	맞음	무효(앉기 미확인)
12	シャルロット	136	앞강베기	맞음	맞음	무효(앉기 미확인)
12	シャルロット	136	대시 A	맞음	맞음	무효(앉기 미확인)
12	シャルロット	136	대시 B	맞음	맞음	무효(앉기 미확인)
12	シャルロット	136	←B 시동기	맞음	맞음	무효(앉기 미확인)
12	シャルロット	136	던지기	맞음	맞음	무효(앉기 미확인)
