# 나찰 필살기 가드 2차 · CPU 반응 · 2026-09-05
자리	이름	입력	닿는거리	집계	유불리	근거
8	リムルル	←↓↙+A	[24, 40]	{'맞음@56': 8, '막힘@56': 6}	{56: [-14, -14]}	맞음@56(거리24 W4) · 맞음@56(거리24 W8) · 맞음@56(거리24 W12) · 맞음@56(거리24 W24) · 맞음@56(거리24 W28) · 맞음@56(거리40 W4)
8	リムルル	←↓↙+A	[24, 40]	{'맞음@56': 8, '막힘@56': 6}	{56: [-14, -14]}	맞음@56(거리24 W4) · 맞음@56(거리24 W8) · 맞음@56(거리24 W12) · 맞음@56(거리24 W24) · 맞음@56(거리24 W28) · 맞음@56(거리40 W4)
8	リムルル	→↓←+B	[24, 40, 56]	{'맞음@56': 12, '맞음@무가드': 2}	{}	맞음@56(거리24 W4) · 맞음@56(거리24 W8) · 맞음@56(거리24 W12) · 맞음@56(거리24 W16) · 맞음@56(거리24 W24) · 맞음@56(거리24 W28)
9	半蔵	→↓↘+A	[24, 40, 56]	{'막힘@56': 1, '맞음@무가드': 4, '헛침': 9}	{56: [20]}	막힘@56(거리24 W4)=+20
9	半蔵	→↓↘+B	[24, 40]	{'헛침': 13, '맞음@무가드': 1}	{}	
9	半蔵	↓↙←+B	[24, 40]	{'맞음@무가드': 2, '헛침': 2, '안나감': 10}	{}	
9	半蔵	←↓→+B	[24, 40]	{'맞음@무가드': 6, '막힘@60': 8}	{60: [-8, -8, -8, -4, -4, 4, 4, 4]}	막힘@60(거리24 W8)=-4 · 막힘@60(거리24 W12)=+4 · 막힘@60(거리24 W20)=-4 · 막힘@60(거리40 W8)=-8 · 막힘@60(거리40 W12)=+4 · 막힘@60(거리40 W16)=+4
9	半蔵	→↓←+B	[24, 40]	{'맞음@무가드': 7, '막힘@60': 7}	{60: [-8, -8, -4, -4, -4, 4, 4]}	막힘@60(거리24 W8)=-4 · 막힘@60(거리24 W12)=+4 · 막힘@60(거리24 W20)=-4 · 막힘@60(거리40 W8)=-4 · 막힘@60(거리40 W12)=+4 · 막힘@60(거리40 W20)=-8
10	十兵衛	↓↘→+A	[24, 40, 56, 80]	{'맞음@60': 4, '맞음@무가드': 8, '헛침': 2}	{}	맞음@60(거리24 W4) · 맞음@60(거리24 W16) · 맞음@60(거리24 W28) · 맞음@60(거리40 W4)
10	十兵衛	←↓↙+B	[24, 40]	{'맞음@무가드': 3, '헛침': 2, '안나감': 9}	{}	
11	蒼月	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 9, '헛침': 5}	{}	
11	蒼月	→↓↘+A	[24, 40]	{'맞음@무가드': 8, '맞음@56': 4, '헛침': 1, '막힘@56': 1}	{56: [0]}	맞음@56(거리24 W12) · 맞음@56(거리24 W24) · 맞음@56(거리40 W12) · 맞음@56(거리40 W24) · 막힘@56(거리40 W28)=+0
11	蒼月	↓↙←+A	[40, 56]	{'맞음@60': 2, '맞음@무가드': 7, '헛침': 3, '안나감': 2}	{}	맞음@60(거리40 W4) · 맞음@60(거리40 W8)
11	蒼月	↓↙←+B	[24, 40]	{'맞음@무가드': 3, '헛침': 3, '안나감': 8}	{}	
12	シャルロット	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 11, '헛침': 3}	{}	
12	シャルロット	→↓↘+A	[24, 40]	{'맞음@무가드': 7, '헛침': 6, '막힘@60': 1}	{60: [6]}	막힘@60(거리40 W28)=+6
12	シャルロット	↓↙←+B	[24, 40]	{'맞음@무가드': 4, '헛침': 2, '안나감': 8}	{}	
13	火月	↓↘→+A	[24, 40, 56]	{'헛침': 8, '맞음@무가드': 6}	{}	
13	火月	→↓↘+A	[24, 40, 56]	{'맞음@무가드': 11, '헛침': 3}	{}	
13	火月	↓↙←+B	[24, 40]	{'맞음@무가드': 5, '막힘@56': 1, '헛침': 2, '안나감': 6}	{56: [-8]}	막힘@56(거리24 W8)=-8
13	火月	←↓↙+A	[24, 40, 56, 80]	{'맞음@무가드': 5, '안나감': 8, '헛침': 1}	{}	
13	火月	→↓←+B	[24, 40, 56]	{'헛침': 13, '맞음@무가드': 1}	{}	
14	右京	↓↙←+A	[24, 40, 56]	{'맞음@무가드': 4, '맞음@56': 6, '막힘@60': 4}	{60: [2, 2, 8, 8]}	맞음@56(거리24 W12) · 막힘@60(거리24 W16)=+8 · 맞음@56(거리24 W20) · 맞음@56(거리24 W24) · 막힘@60(거리24 W28)=+2 · 맞음@56(거리40 W12)
14	右京	↓↙←+B	[24, 40, 56]	{'맞음@무가드': 4, '맞음@60': 10}	{}	맞음@60(거리24 W12) · 맞음@60(거리24 W16) · 맞음@60(거리24 W20) · 맞음@60(거리24 W24) · 맞음@60(거리24 W28) · 맞음@60(거리40 W12)
14	右京	←↓→+B	[24, 40]	{'맞음@무가드': 2, '맞음@56': 1, '안나감': 10, '헛침': 1}	{}	맞음@56(거리24 W8)
