# 나찰 기본기 十四士 · 플래그 더미 · 2026-09-05
자리	이름	기술	거리	acts	발동	후경직	상대경직	피해	타수	위상
5	ガルフォード	던지기	16	[32, 212, 220, 8]	36	26	None	15	1	위상2 일치
5	ガルフォード	체인 A·A·A	24	[88, 116, 124, 104, 8]	4	104	150	13	4	위상2 일치
5	ガルフォード	체인 A·B·B	24	[88, 116, 528, 524, 8]	4	116	148	30	4	위상2 일치
5	ガルフォード	체인 B·B·B	24	[88, 532, 244, 516, 8, 16]	4	100	238	9	4	위상2 일치
6	ナコルル	서서 A	32	[8, 136, 8]	8	36	32	16	1	위상2 일치
6	ナコルル	→+A	40	[28, 8, 92, 8, 256, 260]	16	40	32	12	1	위상2 일치
6	ナコルル	A홀드	40	[8, 104, 8]	16	62	68	24	1	위상2 일치
6	ナコルル	앞강베기	48	[28, 140, 144, 8]	22	76	116	24	1	위상2 일치
6	ナコルル	던지기	16	[32, 212, 220, 8]	36	26	118	14	1	위상2 일치
6	ナコルル	체인 A·A·A	24	[88, 116, 124, 104, 8]	4	104	240	13	4	위상2 일치
6	ナコルル	체인 A·B·B	24	[88, 116, 528, 524, 8]	4	116	148	29	4	위상2 일치
6	ナコルル	체인 B·B·B	24	[88, 532, 244, 516, 8, 16]	4	100	244	9	4	위상2 일치
8	リムルル	서서 A	40	[8, 84, 8]	8	32	32	13	1	위상2 일치
8	リムルル	→+A	40	[28, 8, 88, 92, 8]	22	40	32	10	1	위상2 일치
8	リムルル	A홀드	40	[8, 104, 8, 228, 284, 296]	14	76	68	21	1	위상2 일치
8	リムルル	앞강베기	48	[28, 108, 8]	24	76	206	25	1	위상2 일치
8	リムルル	던지기	16	[32, 172, 180, 8]	36	26	86	15	1	위상2 일치
8	リムルル	체인 A·A·A	24	[116, 96, 84, 104, 8]	6	114	188	13	4	위상2 일치
8	リムルル	체인 A·B·B	24	[116, 96, 92, 108, 8]	6	114	66	37	4	위상2 일치
8	リムルル	체인 B·B·B	24	[116, 120, 112, 116, 8, 16]	6	98	240	9	4	위상2 일치
9	半蔵	서서 A	40	[8, 88, 8]	6	32	32	13	1	위상2 일치
9	半蔵	→+A	40	[28, 8, 92, 8, 200, 256]	14	36	32	13	1	위상2 일치
9	半蔵	A홀드	32	[8, 104, 8]	18	58	68	25	1	위상2 일치
9	半蔵	앞강베기	48	[28, 108, 112, 8, 16, 8]	18	70	166	25	1	위상2 일치
9	半蔵	던지기	16	[32, 144, 152, 8]	36	26	None	15	1	위상2 일치
9	半蔵	체인 A·A·A	24	[88, 96, 92, 112, 8]	4	106	144	13	4	위상2 일치
9	半蔵	체인 A·B·B	24	[88, 96, 132, 104, 8]	4	116	194	30	4	위상2 일치
9	半蔵	체인 B·B·B	24	[88, 124, 132, 116, 8]	4	100	230	9	4	위상2 일치
10	十兵衛	서서 A	40	[8, 80, 8]	6	34	32	14	1	위상2 일치
10	十兵衛	→+A	40	[28, 8, 84, 8, 224, 280]	14	36	32	14	1	위상2 일치
10	十兵衛	A홀드	40	[8, 96, 8]	14	68	68	26	1	위상2 일치
10	十兵衛	앞강베기	48	[28, 100, 104, 8]	24	76	162	31	1	위상2 일치
10	十兵衛	던지기	16	[32, 164, 172, 8]	36	26	86	16	1	위상2 일치
10	十兵衛	체인 A·A·A	24	[80, 88, 84, 96, 8]	4	108	220	13	4	위상2 일치
10	十兵衛	체인 A·B·B	24	[80, 88, 196, 488, 8]	4	116	144	31	4	위상2 일치
10	十兵衛	체인 B·B·B	24	[80, 456, 460, 104, 8, 16]	4	100	274	9	4	위상2 일치
11	蒼月	서서 A	40	[16, 164, 16]	None	None	None	0	0	안맞음
11	蒼月	→+A	40	[36, 16, 168, 16, 312, 368]	14	42	32	8	1	위상2 일치
11	蒼月	A홀드	40	[16, 180, 16]	14	64	68	26	1	위상2 일치
11	蒼月	앞강베기	48	[36, 184, 188, 16]	22	56	None	26	1	위상2 일치
11	蒼月	던지기	16	[40, 252, 260, 16]	36	26	86	16	1	위상2 일치
11	蒼月	체인 A·A·A	24	[180, 172, 164, 168, 16]	6	96	232	13	4	위상2 일치
11	蒼月	체인 A·B·B	24	[180, 172, 168, 188, 16]	6	114	184	31	4	위상2 일치
11	蒼月	체인 B·B·B	24	[180, 164, 196, 192, 16]	6	98	260	9	4	위상2 일치
12	シャルロット	서서 A	40	[8, 80, 8]	6	34	32	14	1	위상2 일치
12	シャルロット	→+A	40	[28, 8, 84, 8, 204, 244]	14	36	32	10	1	위상2 일치
12	シャルロット	A홀드	40	[8, 96, 8, 204, 244, 240]	14	60	44	18	1	위상2 일치
12	シャルロット	앞강베기	48	[28, 100, 104, 8]	22	94	100	27	2	위상2 일치
12	シャルロット	던지기	16	[32, 164, 172, 8]	36	26	None	16	1	위상2 일치
12	シャルロット	체인 A·A·A	24	[80, 88, 108, 84, 8]	4	92	202	13	4	위상2 일치
12	シャルロット	체인 A·B·B	24	[80, 88, 92, 104, 8]	4	116	144	31	4	위상2 일치
12	シャルロット	체인 B·B·B	24	[80, 120, 124, 96, 8]	4	100	None	9	4	위상2 일치
13	火月	서서 A	32	[16, 164, 16]	6	32	32	9	1	위상2 일치
13	火月	→+A	40	[36, 16, 168, 16, 300, 376]	12	38	32	9	1	위상2 일치
13	火月	A홀드	40	[16, 180, 16]	20	58	60	16	1	위상2 일치
13	火月	앞강베기	48	[36, 184, 188, 16]	22	76	126	27	1	위상2 일치
13	火月	던지기	16	[40, 248, 256, 16]	36	26	86	16	1	위상2 일치
13	火月	체인 A·A·A	24	[168, 160, 180, 188, 16]	4	112	230	13	4	위상2 일치
13	火月	체인 A·B·B	24	[168, 160, 172, 192, 16]	4	116	150	32	4	위상2 일치
13	火月	체인 B·B·B	24	[168, 164, 284, 288, 16, 24]	4	100	230	9	4	위상2 일치
14	右京	서서 A	40	[8, 80, 8]	6	32	32	13	1	위상2 일치
14	右京	→+A	40	[28, 8, 84, 128, 8, 228]	12	46	32	13	1	위상2 일치
14	右京	A홀드	40	[8, 96, 8]	14	68	68	25	1	위상2 일치
14	右京	앞강베기	48	[28, 100, 104, 128, 8]	18	66	108	25	1	위상2 일치
14	右京	던지기	16	[32, 168, 176, 8]	36	26	74	15	1	위상2 일치
14	右京	체인 A·A·A	24	[80, 124, 96, 200, 8]	4	104	148	13	4	위상2 일치
14	右京	체인 A·B·B	24	[80, 124, 88, 108, 8]	4	116	148	30	4	위상2 일치
14	右京	체인 B·B·B	24	[80, 88, 124, 96, 8, 16]	4	100	260	9	4	위상2 일치
