# SS2 필살기 표 — 十四士 (2026-09-05 이식소 · 순정 롬 · 플래그 더미 0x1CC7 · 모션 16 × 게임 A/B × 거리 40/16 + 공중 브루트)
# ★ 카드(review/ss2_commands.tsv) 화살표 판정: ① → 는 «상대 쪽» ② 대각은 생략 표기(→↓← 는 ↓↙← 로 나감) ③ 그러나 버튼·방향이 어긋나는 줄이 섞여 있다(覇王丸 참강섬 카드 A→게임 B, 노도단 카드 ←↓→→실제 →↓↘) — «카드대로 나간다»고 적지 말 것. 실측 입력이 정본, 카드 이름은 정합/미러일 때만 붙임(추정).
# 발동 = 커맨드 마지막 입력→첫 히트 · 전체 = 특수 act 시작→중립 · 장풍 = [(거리, 히트f)] 120 에도 닿으면 장풍/돌진 · 가드 = CPU 반응 W 사다리 7회 집계(시끄러움, 2차 예정) · 판정 없음(발동 None) = 자세·상태 기술(먹기·부르기·분신·매) 또는 시점 미조정(공중)
# 분노 MAX 기술 6개: 미측정(MAX 상태 재현 불가 — 게이지 0x1A47/0x1A4B 48 로 박아도 안 나옴)
자리	이름	입력	거리	acts	발동	전체	피해	타수	장풍	가드집계	유불리	카드이름(추정)	가드2차_닿는거리	가드2차_집계	가드2차_유불리	가드2차_근거
3	八角泰山	↓↘→+A	40	[420, 476]	14	128	32	2	[(80, None), (120, None)]	{'헛침': 5, '맞음@무가드': 2}	[]		[24, 40]	{'헛침': 10, '맞음@무가드': 4}	{}	
4	覇王丸	←↓↙+A	40	[456, 460]	20	70	17	1	[(80, None), (120, None)]	{'헛침': 5, '맞음@무가드': 2}	[]		[24, 40, 56]	{'헛침': 13, '맞음@무가드': 8}	{}	
4	覇王丸	→↓↘+A	40	[436, 440]	4	74	25	2	[(80, None), (120, None)]	{'맞음@무가드': 4, '맞음@56': 2, '막힘@56': 1}	[-82]	호월참(정합)	[24, 40, 56]	{'맞음@무가드': 9, '맞음@56': 4, '막힘@56': 7, '헛침': 1}	{56: [-82, -30, 12, 18, 18, 18, 18]}	맞음@56(거리24 W12) · 맞음@56(거리24 W24) · 맞음@56(거리40 W12) · 맞음@56(거리40 W24) · 막힘@56(거리40 W28)=-82 · 막힘@56(거리56 W8)=+18
4	覇王丸	→↓↘+B	40	[468]	None	28	0	0	[(80, None), (120, None)]	{'헛침': 6, '막힘@56': 1}	[-18]					
4	覇王丸	↓↘→+A	40	[444, 448]	14	52	12	2	[(80, None), (120, None)]	{'맞음@60': 6, '헛침': 1}	[]		[24, 40, 56]	{'맞음@60': 11, '맞음@무가드': 6, '헛침': 4}	{}	맞음@60(거리24 W4) · 맞음@60(거리24 W16) · 맞음@60(거리24 W28) · 맞음@60(거리40 W4) · 맞음@60(거리40 W8) · 맞음@60(거리40 W12)
4	覇王丸	↓↙←+B	40	[464]	20	66	13	1	[(80, None), (120, None)]	{'막힘@56': 2, '맞음@56': 4, '맞음@무가드': 1}	[2, 2]		[24, 40]	{'막힘@56': 4, '맞음@56': 8, '맞음@무가드': 2}	{56: [2, 2, 2, 2]}	막힘@56(거리24 W4)=+2 · 막힘@56(거리24 W8)=+2 · 맞음@56(거리24 W12) · 맞음@56(거리24 W16) · 맞음@56(거리24 W20) · 맞음@56(거리24 W24)
5	ガルフォード	→←↓→+A	40	[460, 0, 460]	None	60	0	0	[(80, None), (120, None)]	{'헛침': 5, '안나감': 2}	[]					
5	ガルフォード	↓↘→+A (곁)	16	[272, 328, 296, 236]	10	6	13	1	[]			(카드 없음·④ 곁 재발견)				
5	ガルフォード	공중 ↓↘→+A	32	[484]	None	30	0	0	[]	{'막힘@56': 2, '헛침': 3, '안나감': 2}	[-20, -16]	MSD(미러·분노 MAX 에서(원문 いかりMAXで)) / LST(미러·분노 MAX 에서(원문 いかりMAXで))				
6	ナコルル	←↓↙+A	40	[416]	8	36	13	1	[(80, None), (120, None)]	{'맞음@56': 1, '헛침': 6}	[]	카무이림세(정합) / 안누무츠베(정합)	[24, 40]	{'맞음@56': 2, '맞음@무가드': 2, '헛침': 10}	{}	맞음@56(거리24 W4) · 맞음@56(거리40 W4)
6	ナコルル	←↙↓↘→+A	40	[420]	8	52	17	1	[(80, None), (120, None)]	{'맞음@무가드': 2, '헛침': 3, '막힘@60': 2}	[2, 2]		[24, 40, 56]	{'맞음@무가드': 9, '헛침': 8, '막힘@60': 4}	{60: [2, 2, 2, 2]}	막힘@60(거리40 W24)=+2 · 막힘@60(거리40 W28)=+2 · 막힘@60(거리56 W24)=+2 · 막힘@60(거리56 W28)=+2
6	ナコルル	→↓↘+A	40	[424]	8	34	25	1	[(80, None), (120, None)]	{'맞음@56': 1, '헛침': 6}	[]		[24, 40]	{'맞음@56': 2, '맞음@무가드': 2, '헛침': 10}	{}	맞음@56(거리24 W4) · 맞음@56(거리40 W4)
6	ナコルル	→↓↘+B	40	[432, 436, 200, 444, 440]	18	66	30	4	[(80, None), (120, None)]	{'헛침': 7}	[]	원무강각(정합·상대 곁에서)	[24, 40]	{'헛침': 14}	{}	
6	ナコルル	→↘↓↙←+B	40	[456]	None	106	0	0	[(80, None), (120, None)]	{'헛침': 7}	[]					
6	ナコルル	↓↘→+A	40	[428]	18	44	2	1	[(80, 30), (120, None)]	{'맞음@무가드': 1, '헛침': 6}	[]		[24, 40, 56, 80]	{'안나감': 1, '맞음@무가드': 2, '헛침': 18}	{}	
6	ナコルル	↓↙←+B (곁)	16	[252]	6	6	5	1	[]			(카드 없음·④ 곁 재발견)				
6	ナコルル	공중 ↓↘→+A	32	[448]	None	28	0	0	[]	{'헛침': 7}	[]					
6	ナコルル	공중 ↓↘→+B	점프 64~72	[444]	10	28	10	1	[]	{'맞음@무가드': 7}	[]	③ 점프거리·시점 k4~24				
8	リムルル	→↓↘+A	40	[420]	12	72	13	1	[(80, None), (120, None)]	{'맞음@무가드': 1, '막힘@60': 2, '헛침': 4}	[-12, -6]	콘루논노(정합)	[24, 40]	{'맞음@무가드': 5, '맞음@60': 1, '헛침': 6, '막힘@60': 2}	{60: [-12, -6]}	맞음@60(거리24 W8) · 막힘@60(거리40 W8)=-6 · 막힘@60(거리40 W12)=-12
8	リムルル	→↓↘+B	40	[444, 448, 472, 452, 24, 448, 472, 452, 24, 448, 472, 452, 24, 448]	104	138	32	2	[(80, None), (120, None)]	{'헛침': 6, '맞음@무가드': 1}	[]	루프시투무(미러)	[24, 40]	{'헛침': 12, '맞음@무가드': 2}	{}	
8	リムルル	↓↘→+A	40	[416]	14	48	17	1	[(80, 68), (120, None)]	{'맞음@무가드': 3, '막힘@60': 1, '맞음@60': 2, '헛침': 1}	[28]		[24, 40, 56, 80]	{'맞음@무가드': 14, '맞음@60': 4, '막힘@60': 1, '헛침': 2}	{60: [28]}	맞음@60(거리24 W16) · 막힘@60(거리40 W8)=+28 · 맞음@60(거리40 W12) · 맞음@60(거리40 W16) · 맞음@60(거리56 W8)
8	リムルル	↓↙←+A	40	[436, 424]	10	102	10	7	[(80, None), (120, None)]	{'맞음@56': 5, '막힘@56': 1, '헛침': 1}	[-80]		[24, 40]	{'맞음@56': 10, '막힘@56': 2, '맞음@무가드': 1, '헛침': 1}	{56: [-80, -80]}	맞음@56(거리24 W4) · 맞음@56(거리24 W8) · 막힘@56(거리24 W12)=-80 · 맞음@56(거리24 W16) · 맞음@56(거리24 W20) · 맞음@56(거리24 W24)
8	リムルル	공중 ↓↘→+B	점프 24~40	[432]	124	196	25	1	[]	{'막힘@56': 7}	[2, 2, 2, 2, 2, 2, 2]	체투리에이투비레(정합·상대 곁에서) / 피리케노온칸(판독 불확실)(정합·상대 곁에서) · ③ 점프거리·시점 k4~28				
9	半蔵	→←↓→+A	40	[388]	None	204	0	0	[(80, None), (120, None)]	{'헛침': 7}	[]					
9	半蔵	→↓↘+B	40	[400, 0, 0, 0, 0, 0, 0, 0, 0]	None	26	0	0	[(80, None), (120, None)]	{'헛침': 7}	[]	모즈오토시(정합·상대 곁에서) / 진모즈오토시(정합·비오의 중에)				
9	半蔵	↓→+A (곁)	16	[176, 180]	4	4	12	1	[]			(카드 없음·④ 곁 재발견)				
9	半蔵	↓↘→+A	40	[392]	8	54	8	1	[(80, 26), (120, 38)]	{'맞음@무가드': 7}	[]		[24, 40, 56, 80]	{'맞음@무가드': 21}	{}	
9	半蔵	↓↙←+A	40	[400]	18	54	12	1	[(80, None), (120, None)]	{'헛침': 5, '맞음@무가드': 2}	[]		[24, 40, 56]	{'맞음@무가드': 9, '헛침': 12}	{}	
9	半蔵	↓↙←+B	40	[404, 364]	8	34	29	2	[(80, None), (120, None)]	{'맞음@무가드': 1, '헛침': 6}	[]		[24, 40, 56]	{'맞음@무가드': 3, '헛침': 18}	{}	
9	半蔵	공중 ↓↘→+A	점프 56~72	[396]	20	52	6	1	[]	{'맞음@무가드': 4, '맞음@60': 3}	[]	③ 점프거리·시점 k4~28				
10	十兵衛	→↓↘+A	40	[424, 428, 432]	4	76	23	4	[(80, 20), (120, None)]	{'맞음@무가드': 2, '헛침': 1, '안나감': 4}	[]	쌍각열도(정합)	[24, 40, 56, 80]	{'맞음@무가드': 7, '헛침': 4, '안나감': 9, '맞음@56': 1}	{}	맞음@56(거리56 W4)
10	十兵衛	↓↘→+A	40	[416, 420]	12	54	13	1	[(80, 36), (120, 52)]	{'맞음@무가드': 1, '헛침': 2, '안나감': 4}	[]		[24, 40, 56, 80]	{'맞음@무가드': 6, '헛침': 6, '안나감': 8, '맞음@60': 1}	{}	맞음@60(거리56 W4)
10	十兵衛	↓↙←+A	40	[436]	None	166	0	0	[(80, None), (120, None)]	{'헛침': 4, '안나감': 3}	[]					
11	蒼月	→↓←+B	40	[368, 324, 276]	2	146	5	1	[(80, None), (120, None)]	{'맞음@무가드': 1, '안나감': 1, '헛침': 5}	[]		[24, 40]	{'안나감': 5, '헛침': 8, '맞음@무가드': 1}	{}	
11	蒼月	→↓↘+A	40	[536, 532]	10	60	18	1	[(80, None), (120, None)]	{'맞음@무가드': 1, '헛침': 6}	[]	월광(정합) / 상월(정합)	[24, 40]	{'맞음@무가드': 4, '헛침': 10}	{}	
11	蒼月	↓↘→+A	40	[540]	8	68	18	1	[(80, 36), (120, 54)]	{'맞음@무가드': 7}	[]		[24, 40, 56, 80]	{'맞음@무가드': 21}	{}	
11	蒼月	↓↙←+A	40	[548, 0, 552]	None	58	0	0	[(80, None), (120, None)]	{'헛침': 7}	[]					
11	蒼月	공중 ↓↘→+A	점프 24~40	[544]	10	44	14	1	[]	{'맞음@무가드': 7}	[]	③ 점프거리·시점 k4~8				
12	シャルロット	→↓↘+A	40	[416, 420]	4	56	34	3	[(80, None), (120, None)]	{'맞음@무가드': 2, '헛침': 1, '안나감': 4}	[]		[24, 40]	{'맞음@무가드': 4, '헛침': 2, '안나감': 8}	{}	
12	シャルロット	↓↘→+A	40	[424, 428]	40	76	16	1	[(80, 62), (120, None)]	{'헛침': 4, '안나감': 3}	[]		[24, 40, 56, 80]	{'헛침': 14, '안나감': 7}	{}	
13	火月	←↓↙+B	40	[548]	None	74	0	0	[(80, None), (120, None)]	{'맞음@무가드': 7}	[]	투타염신장(미러·상대 곁에서) / 염황전신(정합)				
13	火月	→↓↘+A	40	[532]	40	100	22	1	[(80, None), (120, None)]	{'맞음@무가드': 2, '막힘@60': 5}	[-20, -16, -16, -16, -16]		[24, 40]	{'맞음@무가드': 6, '막힘@60': 8}	{60: [-20, -20, -20, -20, -16, -16, -16, -16]}	막힘@60(거리24 W12)=-20 · 막힘@60(거리24 W20)=-20 · 막힘@60(거리24 W24)=-20 · 막힘@60(거리40 W12)=-20 · 막힘@60(거리40 W16)=-16 · 막힘@60(거리40 W20)=-16
13	火月	↓↘→+A	40	[528]	14	48	14	1	[(80, 34), (120, 44)]	{'맞음@무가드': 5, '헛침': 2}	[]		[24, 40, 56, 80]	{'맞음@무가드': 13, '헛침': 5, '안나감': 3}	{}	
13	火月	↓↙←+B	40	[536]	None	58	0	0	[(80, None), (120, None)]	{'헛침': 7}	[]	지옥도(미러·분노 MAX 에서(원문 いかりMAXで))				
14	右京	→↓←+B	40	[444]	None	80	0	0	[(80, None), (120, None)]	{'헛침': 6, '안나감': 1}	[]	훈몽이연화(미러)				
14	右京	→↓↘+B	40	[448, 424, 428, 472]	106	190	22	1	[(80, None), (120, None)]	{'맞음@무가드': 4, '헛침': 2, '안나감': 1}	[]		[24, 40]	{'맞음@무가드': 6, '헛침': 7, '안나감': 1}	{}	
14	右京	↓↙←+A	40	[424, 428, 440, 432, 440, 436, 440, 432, 440, 428, 440, 472]	10	144	18	5	[(80, 48), (120, None)]	{'맞음@무가드': 3, '헛침': 3, '안나감': 1}	[]		[24, 40, 56, 80]	{'헛침': 7, '맞음@56': 3, '맞음@무가드': 9, '안나감': 2}	{}	맞음@56(거리24 W8) · 맞음@56(거리24 W12) · 맞음@56(거리24 W16)
14	右京	↓↙←+B	40	[424]	None	28	0	0	[(80, None), (120, None)]	{'헛침': 6, '안나감': 1}	[]					
14	右京	공중 ↓↘→+A	점프 64~72	[420]	10	40	18	1	[]	{'헛침': 4, '안나감': 3}	[]	제비참(정합·공중에서) / 흐린칼(정합) / 제비참(정합·공중에서) · ③ 점프거리·시점 k28~28				
