# 필살기 가드 2차 — CPU 반응 가드(56 서서·60 앉아) · 닿는 거리마다 W 4~28 · 유불리 = CPU 가 가드 떠나는 f − 내 공격/반동 act 끝 f(상한) · 근거 = 가드가 선 (거리, W) · 2026-09-05
자리	이름	입력	닿는거리	집계	유불리	근거
3	八角泰山	←↓↙+A	[24, 40, 56]	{'헛침': 3, '맞음@무가드': 6, '안나감': 12}	{}	
3	八角泰山	→↓←+A	[24, 40, 56, 80]	{'맞음@무가드': 4, '안나감': 15, '헛침': 2}	{}	
6	ナコルル	↓↘→+A	[24, 40, 56, 80]	{'안나감': 1, '맞음@무가드': 2, '헛침': 18}	{}	
6	ナコルル	→↓↘+A	[24, 40]	{'맞음@56': 2, '맞음@무가드': 2, '헛침': 10}	{}	맞음@56(거리24 W4) · 맞음@56(거리40 W4)
6	ナコルル	→↓↘+B	[24, 40]	{'헛침': 14}	{}	
6	ナコルル	←↓↙+A	[24, 40]	{'맞음@56': 2, '맞음@무가드': 2, '헛침': 10}	{}	맞음@56(거리24 W4) · 맞음@56(거리40 W4)
6	ナコルル	←↙↓↘→+A	[24, 40, 56]	{'맞음@무가드': 9, '헛침': 8, '막힘@60': 4}	{60: [2, 2, 2, 2]}	막힘@60(거리40 W24)=+2 · 막힘@60(거리40 W28)=+2 · 막힘@60(거리56 W24)=+2 · 막힘@60(거리56 W28)=+2
8	リムルル	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 14, '맞음@60': 4, '막힘@60': 1, '헛침': 2}	{60: [28]}	맞음@60(거리24 W16) · 막힘@60(거리40 W8)=+28 · 맞음@60(거리40 W12) · 맞음@60(거리40 W16) · 맞음@60(거리56 W8)
8	リムルル	→↓↘+A	[24, 40]	{'맞음@무가드': 5, '맞음@60': 1, '헛침': 6, '막힘@60': 2}	{60: [-12, -6]}	맞음@60(거리24 W8) · 막힘@60(거리40 W8)=-6 · 막힘@60(거리40 W12)=-12
8	リムルル	→↓↘+B	[24, 40]	{'헛침': 12, '맞음@무가드': 2}	{}	
8	リムルル	↓↙←+A	[24, 40]	{'맞음@56': 10, '막힘@56': 2, '맞음@무가드': 1, '헛침': 1}	{56: [-80, -80]}	맞음@56(거리24 W4) · 맞음@56(거리24 W8) · 막힘@56(거리24 W12)=-80 · 맞음@56(거리24 W16) · 맞음@56(거리24 W20) · 맞음@56(거리24 W24)
9	半蔵	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 21}	{}	
9	半蔵	↓↙←+A	[24, 40, 56]	{'맞음@무가드': 9, '헛침': 12}	{}	
9	半蔵	↓↙←+B	[24, 40, 56]	{'맞음@무가드': 3, '헛침': 18}	{}	
10	十兵衛	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 6, '헛침': 6, '안나감': 8, '맞음@60': 1}	{}	맞음@60(거리56 W4)
10	十兵衛	→↓↘+A	[24, 40, 56, 80]	{'맞음@무가드': 7, '헛침': 4, '안나감': 9, '맞음@56': 1}	{}	맞음@56(거리56 W4)
11	蒼月	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 21}	{}	
11	蒼月	→↓↘+A	[24, 40]	{'맞음@무가드': 4, '헛침': 10}	{}	
11	蒼月	→↓←+B	[24, 40]	{'안나감': 5, '헛침': 8, '맞음@무가드': 1}	{}	
12	シャルロット	↓↘→+A	[24, 40, 56, 80]	{'헛침': 14, '안나감': 7}	{}	
12	シャルロット	→↓↘+A	[24, 40]	{'맞음@무가드': 4, '헛침': 2, '안나감': 8}	{}	
13	火月	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 13, '헛침': 5, '안나감': 3}	{}	
13	火月	→↓↘+A	[24, 40]	{'맞음@무가드': 6, '막힘@60': 8}	{60: [-20, -20, -20, -20, -16, -16, -16, -16]}	막힘@60(거리24 W12)=-20 · 막힘@60(거리24 W20)=-20 · 막힘@60(거리24 W24)=-20 · 막힘@60(거리40 W12)=-20 · 막힘@60(거리40 W16)=-16 · 막힘@60(거리40 W20)=-16
14	右京	→↓↘+B	[24, 40]	{'맞음@무가드': 6, '헛침': 7, '안나감': 1}	{}	
14	右京	↓↙←+A	[24, 40, 56, 80]	{'헛침': 7, '맞음@56': 3, '맞음@무가드': 9, '안나감': 2}	{}	맞음@56(거리24 W8) · 맞음@56(거리24 W12) · 맞음@56(거리24 W16)
