# 기본기 가드·높이·대시 十四士 — 높이: 플래그+P2 act52 · 대시/발동/피해: 플래그 더미 · 가드: CPU 반응 W 4~28 집계(56 서서·60 앉아) · 유불리 = CPU 가드 이탈 − 내 공격/반동 끝(상한) · 2026-09-05
자리	이름	기술	서있는상대	앉은상대	발동	피해	가드집계	유불리
3	八角泰山	대시 A	맞음 f30 7	맞음	30	7	{'헛침': 6, '맞음@무가드': 1}	{}
3	八角泰山	대시 B	맞음 f16 7	맞음	16	7	{'헛침': 3, '맞음@무가드': 4}	{}
3	八角泰山	←B 시동기	맞음 f4 5	맞음	4	5		
3	八角泰山	던지기	맞음 f38 16	맞음	38	16	{'맞음@무가드': 2, '헛침': 5}	{}
4	覇王丸	서서 A	맞음 f8 13	맞음	8	13		
4	覇王丸	앉아 A	맞음 f14 13	맞음	14	13		
4	覇王丸	서서 A홀드	맞음 f16 25	맞음	16	25	{'헛침': 1, '막힘@56': 6}	{56: [-14, -14, -14]}
4	覇王丸	앉아 A홀드	맞음 f22 21	맞음	22	21	{'막힘@56': 7}	{56: [-14, -14, -10, -10, -10]}
4	覇王丸	→+A 앞베기	맞음 f14 10	맞음	14	10	{'헛침': 1, '맞음@무가드': 2, '막힘@56': 3, '맞음@56': 1}	{56: [-8, -8, -8]}
4	覇王丸	앞강베기	맞음 f24 30	맞음	24	30	{'헛침': 1, '막힘@56': 6}	{56: [-14, -14, -14, -14]}
4	覇王丸	대시 A	맞음 f30 6	헛침	30	6	{'헛침': 1, '막힘@56': 4, '맞음@무가드': 2}	{56: [-14, -14, -14, -8]}
4	覇王丸	대시 B	맞음 f16 6	맞음	16	6	{'헛침': 1, '막힘@60': 3, '맞음@무가드': 2, '맞음@56': 1}	{60: [2, 2, 2]}
4	覇王丸	←B 시동기	맞음 f6 5	맞음	6	5		
4	覇王丸	던지기	맞음 f36 15	맞음	36	15	{'맞음@무가드': 3, '헛침': 2, '안나감': 2}	{}
5	ガルフォード	서서 A	헛침	맞음	None	0		
5	ガルフォード	앉아 A	맞음 f12 13	맞음	12	13		
5	ガルフォード	서서 A홀드	맞음 f16 25	맞음	16	25	{'헛침': 3, '맞음@무가드': 2, '안나감': 2}	{}
5	ガルフォード	앉아 A홀드	맞음 f20 25	맞음	20	25	{'맞음@무가드': 2, '헛침': 2, '안나감': 3}	{}
5	ガルフォード	→+A 앞베기	맞음 f16 13	맞음	16	13	{'헛침': 4, '맞음@무가드': 2, '안나감': 1}	{}
5	ガルフォード	앞강베기	맞음 f22 25	맞음	22	25	{'헛침': 2, '맞음@무가드': 1, '안나감': 4}	{}
5	ガルフォード	대시 A	맞음 f26 6	헛침	26	6	{'맞음@무가드': 3, '헛침': 2, '안나감': 2}	{}
5	ガルフォード	대시 B	맞음 f16 6	헛침	16	6	{'헛침': 6, '맞음@무가드': 1}	{}
5	ガルフォード	←B 시동기	맞음 f6 5	맞음	6	5		
5	ガルフォード	던지기	맞음 f36 15	맞음	36	15	{'맞음@무가드': 4, '헛침': 1, '안나감': 2}	{}
6	ナコルル	서서 A	맞음 f8 13	맞음	8	13		
6	ナコルル	앉아 A	맞음 f14 13	맞음	14	13		
6	ナコルル	서서 A홀드	맞음 f20 25	맞음	20	25	{'막힘@56': 1, '헛침': 6}	{56: [-12]}
6	ナコルル	앉아 A홀드	맞음 f24 21	맞음	24	21	{'헛침': 7}	{}
6	ナコルル	→+A 앞베기	맞음 f22 10	맞음	22	10	{'막힘@56': 4, '헛침': 3}	{56: [-10, 2, 2, 2]}
6	ナコルル	앞강베기	맞음 f20 24	맞음	20	24	{'막힘@56': 1, '헛침': 6}	{56: [-10]}
6	ナコルル	대시 A	맞음 f26 6	맞음	26	6	{'맞음@무가드': 1, '헛침': 6}	{}
6	ナコルル	대시 B	맞음 f18 6	맞음	18	6	{'막힘@60': 1, '헛침': 1, '맞음@무가드': 5}	{60: [-8]}
6	ナコルル	←B 시동기	맞음 f6 5	맞음	6	5		
6	ナコルル	던지기	맞음 f36 15	맞음	36	15	{'헛침': 2, '안나감': 5}	{}
8	リムルル	서서 A	맞음 f8 13	맞음	8	13		
8	リムルル	앉아 A	맞음 f14 13	맞음	14	13		
8	リムルル	서서 A홀드	맞음 f14 21	맞음	14	21	{'막힘@56': 4, '맞음@무가드': 1, '맞음@56': 1, '헛침': 1}	{56: [-10, -10, -10, -10]}
8	リムルル	앉아 A홀드	맞음 f24 21	맞음	24	21	{'맞음@무가드': 1, '막힘@60': 3, '헛침': 3}	{60: [-12, -12, -12]}
8	リムルル	→+A 앞베기	맞음 f22 10	맞음	22	10	{'막힘@56': 6, '헛침': 1}	{56: [-10, -10, -10, -10]}
8	リムルル	앞강베기	맞음 f24 25	맞음	24	25	{'막힘@56': 5, '맞음@무가드': 1, '헛침': 1}	{56: [-12, -12, -12, -12]}
8	リムルル	대시 A	맞음 f16 6	맞음	16	6	{'맞음@무가드': 7}	{}
8	リムルル	대시 B	맞음 f22 8	맞음	22	8	{'막힘@60': 4, '맞음@무가드': 3}	{60: [-18, -12, -12, -12]}
8	リムルル	←B 시동기	맞음 f6 5	맞음	6	5		
8	リムルル	던지기	맞음 f36 15	맞음	36	15	{'헛침': 2, '맞음@무가드': 2, '안나감': 3}	{}
9	半蔵	서서 A	맞음 f6 12	헛침	6	12		
9	半蔵	앉아 A	헛침	헛침	None	0		
9	半蔵	서서 A홀드	헛침	헛침	None	0	{'막힘@56': 1, '헛침': 6}	{56: [-4]}
9	半蔵	앉아 A홀드	맞음 f20 20	헛침	20	20	{'헛침': 7}	{}
9	半蔵	→+A 앞베기	맞음 f14 12	헛침	14	12	{'막힘@56': 1, '맞음@무가드': 2, '헛침': 4}	{56: [-6]}
9	半蔵	앞강베기	맞음 f18 24	헛침	18	24	{'막힘@56': 1, '맞음@무가드': 2, '헛침': 4}	{56: [-12]}
9	半蔵	대시 A	맞음 f28 6	헛침	28	6	{'맞음@무가드': 1, '헛침': 6}	{}
9	半蔵	대시 B	맞음 f16 6	맞음	16	6	{'막힘@60': 1, '맞음@무가드': 1, '헛침': 5}	{60: [-2]}
9	半蔵	←B 시동기	맞음 f4 5	헛침	4	5		
9	半蔵	던지기	맞음 f36 14	헛침	36	14	{'헛침': 2, '안나감': 5}	{}
10	十兵衛	서서 A	맞음 f6 13	맞음	6	13		
10	十兵衛	앉아 A	맞음 f14 13	헛침	14	13		
10	十兵衛	서서 A홀드	맞음 f14 25	맞음	14	25	{'막힘@56': 1, '헛침': 2, '안나감': 4}	{56: [-12]}
10	十兵衛	앉아 A홀드	맞음 f20 25	맞음	20	25	{'헛침': 1, '안나감': 6}	{}
10	十兵衛	→+A 앞베기	맞음 f14 13	맞음	14	13	{'막힘@56': 1, '헛침': 2, '안나감': 4}	{56: [-6]}
10	十兵衛	앞강베기	맞음 f24 30	맞음	24	30	{'막힘@56': 1, '헛침': 1, '안나감': 3, '맞음@무가드': 2}	{56: [-14]}
10	十兵衛	대시 A	맞음 f26 6	맞음	26	6	{'맞음@무가드': 2, '헛침': 1, '안나감': 4}	{}
10	十兵衛	대시 B	맞음 f16 6	헛침	16	6	{'막힘@60': 1, '헛침': 1, '안나감': 4, '맞음@무가드': 1}	{60: [-4]}
10	十兵衛	←B 시동기	맞음 f4 5	맞음	4	5		
10	十兵衛	던지기	맞음 f36 15	맞음	36	15	{'헛침': 3, '안나감': 4}	{}
11	蒼月	서서 A	헛침	헛침	None	0		
11	蒼月	앉아 A	맞음 f12 8	헛침	12	8		
11	蒼月	서서 A홀드	맞음 f18 26	헛침	18	26	{'막힘@56': 1, '헛침': 6}	{56: [48]}
11	蒼月	앉아 A홀드	맞음 f20 22	헛침	20	22	{'헛침': 6, '맞음@무가드': 1}	{}
11	蒼月	→+A 앞베기	맞음 f12 10	헛침	12	10	{'맞음@무가드': 4, '헛침': 3}	{}
11	蒼月	앞강베기	맞음 f20 26	맞음	20	26	{'막힘@56': 1, '맞음@무가드': 6}	{56: [48]}
11	蒼月	대시 A	맞음 f26 6	헛침	26	6	{'헛침': 7}	{}
11	蒼月	대시 B	맞음 f16 6	헛침	16	6	{'막힘@60': 1, '헛침': 1, '맞음@무가드': 5}	{60: [-8]}
11	蒼月	←B 시동기	맞음 f4 5	헛침	4	5		
11	蒼月	던지기	맞음 f36 16	헛침	36	16	{'헛침': 7}	{}
12	シャルロット	서서 A	맞음 f6 14	맞음	6	14		
12	シャルロット	앉아 A	맞음 f12 14	맞음	12	14		
12	シャルロット	서서 A홀드	맞음 f14 19	맞음	14	19	{'헛침': 6, '맞음@무가드': 1}	{}
12	シャルロット	앉아 A홀드	맞음 f18 29	맞음	18	29	{'맞음@무가드': 1, '헛침': 1, '안나감': 5}	{}
12	シャルロット	→+A 앞베기	맞음 f14 11	맞음	14	11	{'헛침': 3, '맞음@무가드': 1, '안나감': 3}	{}
12	シャルロット	앞강베기	맞음 f22 29	맞음	22	29	{'헛침': 4, '안나감': 3}	{}
12	シャルロット	대시 A	맞음 f18 7	맞음	18	7	{'맞음@무가드': 1, '헛침': 2, '안나감': 4}	{}
12	シャルロット	대시 B	맞음 f16 7	헛침	16	7	{'헛침': 3, '안나감': 4}	{}
12	シャルロット	←B 시동기	맞음 f4 5	맞음	4	5		
12	シャルロット	던지기	맞음 f36 16	맞음	36	16	{'막힘@60': 1, '맞음@무가드': 1, '헛침': 1, '안나감': 4}	{60: [-18]}
13	火月	서서 A	헛침	헛침	None	0		
13	火月	앉아 A	맞음 f12 8	헛침	12	8		
13	火月	서서 A홀드	맞음 f16 26	헛침	16	26	{'맞음@60': 1, '막힘@60': 3, '맞음@무가드': 2, '헛침': 1}	{60: [48, 48, 48]}
13	火月	앉아 A홀드	헛침	헛침	None	0	{'막힘@60': 3, '맞음@무가드': 2, '헛침': 1, '안나감': 1}	{60: [-6, -6, -6]}
13	火月	→+A 앞베기	맞음 f12 10	헛침	12	10	{'맞음@무가드': 5, '막힘@60': 2}	{60: [28, 28]}
13	火月	앞강베기	맞음 f24 26	헛침	24	26	{'막힘@60': 3, '안나감': 4}	{60: [-8, 48, 48]}
13	火月	대시 A	맞음 f26 6	헛침	26	6	{'막힘@60': 1, '맞음@무가드': 6}	{60: [0]}
13	火月	대시 B	맞음 f16 6	헛침	16	6	{'맞음@60': 1, '헛침': 4, '맞음@무가드': 2}	{}
13	火月	←B 시동기	맞음 f4 5	헛침	4	5		
13	火月	던지기	맞음 f36 16	헛침	36	16	{'맞음@무가드': 3, '헛침': 4}	{}
14	右京	서서 A	맞음 f6 13	맞음	6	13		
14	右京	앉아 A	맞음 f12 13	맞음	12	13		
14	右京	서서 A홀드	맞음 f14 25	맞음	14	25	{'헛침': 2, '맞음@무가드': 3, '안나감': 2}	{}
14	右京	앉아 A홀드	맞음 f20 18	맞음	20	18	{'맞음@무가드': 2, '헛침': 2, '안나감': 3}	{}
14	右京	→+A 앞베기	맞음 f12 13	맞음	12	13	{'맞음@무가드': 4, '헛침': 3}	{}
14	右京	앞강베기	맞음 f18 25	헛침	18	25	{'헛침': 1, '맞음@무가드': 2, '안나감': 4}	{}
14	右京	대시 A	맞음 f24 6	맞음	24	6	{'맞음@무가드': 3, '헛침': 2, '안나감': 2}	{}
14	右京	대시 B	맞음 f16 6	맞음	16	6	{'헛침': 3, '막힘@60': 1, '맞음@무가드': 1, '안나감': 2}	{60: [2]}
14	右京	←B 시동기	맞음 f4 5	맞음	4	5		
14	右京	던지기	맞음 f36 15	맞음	36	15	{'맞음@무가드': 3, '헛침': 2, '안나감': 2}	{}
